STKCODE,EV_EBITDA
950130,0.05535523879437313
900340,0.08835410370033708
214180,0.17395250833446865
115310,0.3203077056739261
009970,0.3720880141880975
052790,0.40874084698906205
008060,0.4843299050203528
003240,0.4877017052158251
003650,0.5234714868397209
016250,0.5831676570476542
205470,0.650789847743211
093920,0.652016162309393
025530,0.6827430643113476
072870,0.859287928933359
109960,0.8926292753357753
035890,0.9642352193480641
036000,1.033344194688331
011200,1.1139001587531008
002920,1.1890841571545048
006200,1.1972724550334861
005990,1.2189575719536854
067770,1.2275861337827065
036710,1.2530191819157008
037400,1.2577487475618905
094970,1.329702214807047
084010,1.3334449373482766
001800,1.3625925648981856
092230,1.398438165420158
253840,1.432003813374559
900290,1.447763168467053
054800,1.455345512404796
084650,1.5543080289081115
058430,1.6580173957934912
285130,1.6844105806266163
352700,1.7528731856099173
094840,1.7716792560951504
011780,1.7945527072051302
012320,1.8147567388379988
900070,1.9504153240776652
058850,2.056994922316969
042420,2.085759994925798
298020,2.098082250105854
096530,2.166645478830743
057050,2.237513643529935
045100,2.263236457525413
040300,2.3032284023540637
093050,2.3535289688105157
038950,2.3559490568309682
079940,2.3775131224228145
054040,2.3817803131514688
029460,2.3956465592495277
005430,2.4106803776058183
009180,2.422325375335974
192440,2.427691998542982
192080,2.4664163173138456
201490,2.5122672924677674
137310,2.5204791667823865
082850,2.52972699886149
032560,2.571727607322525
187870,2.574841329794993
375500,2.6005310275936853
034220,2.61163997412341
005490,2.6371322874820753
049070,2.6925307345917067
013580,2.719158601755893
043370,2.73202285712
005820,2.747574279785303
124560,2.788352195072592
025000,2.790658023853565
002200,2.852524192268495
002310,2.8751531658705685
284740,2.882977886921863
079960,2.918451435683935
081580,2.946301914060456
007700,2.9516207554334164
023600,3.0009835468399007
001120,3.0166108403024237
003060,3.0217019204737734
002990,3.037243285804057
084110,3.0621346434135446
133750,3.066267588478516
003030,3.098040720442008
005810,3.1072038134248876
050540,3.1118168909313724
053210,3.1200347499217482
006650,3.1213783863533053
000720,3.1307119868025044
007860,3.1339676635391793
038390,3.171472901426806
214320,3.1722603251869326
108320,3.1912731059261974
010100,3.195843813598141
002030,3.205491211742846
092440,3.207696556926287
004560,3.232045613485875
123700,3.244334579544037
075180,3.24600510272593
020000,3.253811124712829
001230,3.2934335201199145
034590,3.2986555322195703
