STKCODE,PEG
024120,0.10081584239235455
090470,0.10143652567927913
263020,0.10152956902108654
092460,0.10208257576545755
021050,0.10208737873347228
060560,0.10232210011857883
003080,0.10243567130349819
000050,0.1025416413293345
001530,0.10353918653727574
239340,0.10389889369907487
006880,0.10402454764385888
156100,0.10437078550424045
050110,0.1051198415303597
010100,0.10532027061992173
042110,0.1055619632389963
047080,0.10684022994924844
002350,0.10734508299493468
298540,0.10757111328514124
181340,0.10786018016334373
024740,0.10811346294789
158310,0.10932594901451308
071280,0.10933818752279634
149980,0.10961846134395953
002020,0.11012795260132587
183300,0.11017645118153792
045300,0.11065430190537988
028100,0.11115817983993452
034310,0.1118359097138205
115960,0.11187234876778195
031330,0.11250193304222776
