STKCODE,ROE
299910,12.011004126547455
078650,5.903501822056726
053110,2.337045528987881
003620,1.808046396200066
007700,0.9637856414501521
205470,0.8479445493195458
095270,0.7686256068732366
011300,0.7361287590004235
011200,0.619555043897641
950130,0.6119250354422724
383220,0.54909875938322
124560,0.5475951501525614
298020,0.536089623408623
084650,0.5316869035919222
112040,0.4997551029100163
253840,0.4799325216370838
287410,0.4734834920683234
064290,0.4696506591160532
042600,0.45476674272002887
096530,0.4362410169031989
137310,0.4257606868937842
069920,0.42402701534262627
108320,0.42336382012177426
298050,0.42113240229511745
092130,0.4188668950256146
039560,0.40344043100045884
222800,0.40313401033851826
141020,0.39923954372623577
036930,0.39870862973306337
026040,0.39164289727467677
